"ID","Name","Surname","Gender","Nationality","DOB"
1,"dbc0f8e2aa2810add47ff7ec2335a731","d57ecac35ee13b0befed47fec44c00b6","Female","Zimbabwean","19920218"
2,"fcf26776e73cb44586de3f3ee557eca0","51f1c307f7e9755a301bb0d98b6e6fe7","Unknown","Coloured","19970918"
3,"d3dfe6296129daf218d5b0904470d327","dd79ea922a365ad5d0647cb4113f7cfd","Unknown","Namibian","19810705"
4,"0b34e6b7becf8b90ea474a3167ad6c90","48c3f3d015ec7d00d87dc0773a61beb1","Unknown","Namibian","19800203"
5,"2d388c16ba23dcd4fa01a548b7120262","3b7e1ec4ab04418fdf5da8da933aa145","Unknown","Indian","19991111"
6,"b43211e5f0ee63bc4bed58ff55999bf1","c69efde008975c108dc0dd17534ff735","Female","South African","19662908"
7,"26c4cddf6ff61f3e73d572331483751c","4f6e52e500a096c587ceab7ae1fad233","Female","Chinese","19990204"
8,"d3adfb59c1600a67afbc2f1f9d11bebf","0aa3963767eaf9155446ae6577826e47","Female","Coloured","19592702"
9,"c844311019d3cb48aa2ce0fd53194b95","8fd464781c292756ed7a5b8f318d549c","Female","Chinese","19570905"
10,"bf235f214bddc868089b40144d22acfc","3dca1e9f77fc9fbd3c31315b184bcb3e","Male","Zimbabwean","19920218"
11,"587aca752b3811bf69791a0035792743","88e82f1d20231e128afd40399a3db2de","Male","Coloured","19440911"
12,"d7fe4b4c0618814f65014e0adfedd446","fed3c74ad253e050851ca68061ad0404","Unknown","Indian","20051605"
13,"01d8e2be259293160b6f41971d8a3ddb","a4be8cb43e2d551333566136df365aaa","Female","South African","19571108"
14,"9990b7e26970798097405bb09d5f6c32","d66a87963de0ba693b5a13a08f539812","Unknown","Zimbabwean","19920218"
15,"0637b8856a45dc9689f79d07519670f3","32f75b9d4287a13dc8428edf89f6324b","Unknown","South African","19990401"
16,"3fc128f1bad6292f6c1908a5c2781f8d","9a7eb0572a0173de722797e16699003d","Unknown","Indian","20040716"
17,"c28ff67cd446e94004fb91838c21e565","91f828ffb4af5b9376787b47d61b8747","Male","Coloured","19700306"
18,"bc14a30cca0d03f34b2796454a017aa6","82f077913ffb8600946474bec12a1aa2","Female","Coloured","19570905"
19,"a8bb63e4b3c586a82b8495ff8807e4bf","de3f1f14e5fde046fbfc2d5b9befc523","Female","Namibian","20051605"
20,"d7ea76c37910dcb2e47bc0599111ea1b","9c4a8c3b20778187c17e96ccdac60bdb","Unknown","Chinese","19920218"
21,"428dd2b6435a20f449cbbd736c564c68","0cb4032b1375596ee3f2cf111a592a4d","Unknown","Indian","19990401"
22,"6ff9ff528e8de2feee5c358c823f42bb","e9f14073f5882dfd46ea4680a420c82c","Unknown","South African","19662908"
23,"61e7ec82ff7335d7484efaba5f140e9f","f36e32abfaec4dc1020f61c77ae952e4","Male","Namibian","19592702"
24,"061e5402fb7ccd82ca3f765fd2e6a595","cded3f6b22dc6844ea58e84f67affb65","Female","Namibian","20010401"
25,"61d4f985e0b554939d82c74be93f43c5","d96605a183e0cad28a80b80810d3ac9e","Male","International","19592702"
26,"8848e15b3dde63a7bf671d71ee088b84","afddfb5ceb3cf1c872f9891a85595b22","Unknown","Indian","19920218"
27,"78f7047b9fcabdcd8d94e0dfe922742a","ec320f9f1d49f8d60a5c93be898a56ae","Unknown","Coloured","19760621"
28,"242479cd486624e9a89f4502ce818bb3","e19e967a1de0e00257c895910345077d","Unknown","International","20051605"
29,"c090634ae87e26bc19b88b20098625e5","e1667097d9326a7a449d8666295cd7a6","Female","Chinese","19961607"
30,"d179900b9177d1573667306210f98a01","7899856685407713068c6415a19cf4c6","Female","Zimbabwean","19990401"
31,"79318b0b896b1e87777dcd1aff32cf9e","f76e3798400e4fe3b262b944df3d8725","Unknown","Zimbabwean","19941902"
32,"9525c328174d3aae63ea50b99cb89ba8","1cda6b172b3dc627abb1d260b5ec3369","Unknown","Coloured","19941112"
